timestamp;date;/szekcio/plenaris;/szekcio/szakkepzes-itmp-netacad;/szekcio/digitalis-kultura;/szekcio/digitalis-kultura-also-tagozat;/szekcio/it-felsooktatas
1647662400;2022. 03. 19. 5:00:00;1;0;0;0;0
1647662700;2022. 03. 19. 5:05:00;0;0;0;0;0
1647663000;2022. 03. 19. 5:10:00;0;0;0;0;0
1647663300;2022. 03. 19. 5:15:00;0;0;0;0;0
1647663600;2022. 03. 19. 5:20:00;0;0;0;0;0
1647663900;2022. 03. 19. 5:25:00;0;0;0;0;0
1647664200;2022. 03. 19. 5:30:00;1;0;0;0;0
1647664500;2022. 03. 19. 5:35:00;1;1;0;0;0
1647664800;2022. 03. 19. 5:40:00;0;1;1;1;0
1647665100;2022. 03. 19. 5:45:00;2;0;1;1;0
1647665400;2022. 03. 19. 5:50:00;1;1;1;0;1
1647665700;2022. 03. 19. 5:55:00;1;0;0;0;0
1647666000;2022. 03. 19. 6:00:00;1;0;0;0;0
1647666300;2022. 03. 19. 6:05:00;1;0;0;0;0
1647666600;2022. 03. 19. 6:10:00;2;1;0;1;0
1647666900;2022. 03. 19. 6:15:00;1;0;0;0;0
1647667200;2022. 03. 19. 6:20:00;2;0;0;0;0
1647667500;2022. 03. 19. 6:25:00;3;0;0;0;0
1647667800;2022. 03. 19. 6:30:00;2;1;0;0;0
1647668100;2022. 03. 19. 6:35:00;5;3;3;2;1
1647668400;2022. 03. 19. 6:40:00;3;0;2;0;0
1647668700;2022. 03. 19. 6:45:00;2;1;2;1;0
1647669000;2022. 03. 19. 6:50:00;2;0;1;1;1
1647669300;2022. 03. 19. 6:55:00;2;1;0;1;0
1647669600;2022. 03. 19. 7:00:00;2;2;3;3;2
1647669900;2022. 03. 19. 7:05:00;4;0;0;0;0
1647670200;2022. 03. 19. 7:10:00;2;1;3;1;1
1647670500;2022. 03. 19. 7:15:00;2;0;0;0;0
1647670800;2022. 03. 19. 7:20:00;3;0;0;0;0
1647671100;2022. 03. 19. 7:25:00;7;3;3;2;1
1647671400;2022. 03. 19. 7:30:00;8;1;4;1;0
1647671700;2022. 03. 19. 7:35:00;13;7;6;5;4
1647672000;2022. 03. 19. 7:40:00;17;3;5;3;2
1647672300;2022. 03. 19. 7:45:00;39;8;7;5;3
1647672600;2022. 03. 19. 7:50:00;58;8;9;3;3
